cod_ibge,municipio,ano,pib_valor
1100015,Alta Floresta D'Oeste - RO,2018,498980
1100015,Alta Floresta D'Oeste - RO,2019,495775
1100015,Alta Floresta D'Oeste - RO,2020,570242
1100015,Alta Floresta D'Oeste - RO,2021,734469
1100023,Ariquemes - RO,2018,2464704
1100023,Ariquemes - RO,2019,2579278
1100023,Ariquemes - RO,2020,2817331
1100023,Ariquemes - RO,2021,3209761
1100031,Cabixi - RO,2018,140503
1100031,Cabixi - RO,2019,139976
1100031,Cabixi - RO,2020,167153
1100031,Cabixi - RO,2021,238412
1100049,Cacoal - RO,2018,2175840
1100049,Cacoal - RO,2019,2261930
1100049,Cacoal - RO,2020,2518845
1100049,Cacoal - RO,2021,2792383
1100056,Cerejeiras - RO,2018,470647
1100056,Cerejeiras - RO,2019,506494
1100056,Cerejeiras - RO,2020,600630
1100056,Cerejeiras - RO,2021,743037
1100064,Colorado do Oeste - RO,2018,330232
1100064,Colorado do Oeste - RO,2019,334922
1100064,Colorado do Oeste - RO,2020,366922
1100064,Colorado do Oeste - RO,2021,424807
1100072,Corumbiara - RO,2018,320416
1100072,Corumbiara - RO,2019,349289
1100072,Corumbiara - RO,2020,268353
1100072,Corumbiara - RO,2021,396728
1100080,Costa Marques - RO,2018,230151
1100080,Costa Marques - RO,2019,238796
1100080,Costa Marques - RO,2020,261944
1100080,Costa Marques - RO,2021,316671
1100098,Espigão D'Oeste - RO,2018,606072
1100098,Espigão D'Oeste - RO,2019,624787
1100098,Espigão D'Oeste - RO,2020,666321
1100098,Espigão D'Oeste - RO,2021,773381
1100106,Guajará-Mirim - RO,2018,837459
1100106,Guajará-Mirim - RO,2019,892778
1100106,Guajará-Mirim - RO,2020,984614
1100106,Guajará-Mirim - RO,2021,1054179
1100114,Jaru - RO,2018,1484555
1100114,Jaru - RO,2019,1500855
1100114,Jaru - RO,2020,1665151
1100114,Jaru - RO,2021,1765089
1100122,Ji-Paraná - RO,2018,3466810
1100122,Ji-Paraná - RO,2019,3783206
1100122,Ji-Paraná - RO,2020,4057176
1100122,Ji-Paraná - RO,2021,4231113
1100130,Machadinho D'Oeste - RO,2018,642283
1100130,Machadinho D'Oeste - RO,2019,632997
1100130,Machadinho D'Oeste - RO,2020,700188
1100130,Machadinho D'Oeste - RO,2021,890320
1100148,Nova Brasilândia D'Oeste - RO,2018,345779
1100148,Nova Brasilândia D'Oeste - RO,2019,359625
1100148,Nova Brasilândia D'Oeste - RO,2020,403373
1100148,Nova Brasilândia D'Oeste - RO,2021,548734
1100155,Ouro Preto do Oeste - RO,2018,807497
1100155,Ouro Preto do Oeste - RO,2019,834959
1100155,Ouro Preto do Oeste - RO,2020,885132
1100155,Ouro Preto do Oeste - RO,2021,985868
1100189,Pimenta Bueno - RO,2018,1129770
1100189,Pimenta Bueno - RO,2019,1164694
1100189,Pimenta Bueno - RO,2020,1361160
1100189,Pimenta Bueno - RO,2021,1642516
1100205,Porto Velho - RO,2018,16655670
1100205,Porto Velho - RO,2019,17906443
1100205,Porto Velho - RO,2020,19446740
1100205,Porto Velho - RO,2021,20059522
1100254,Presidente Médici - RO,2018,418683
1100254,Presidente Médici - RO,2019,427885
1100254,Presidente Médici - RO,2020,464090
1100254,Presidente Médici - RO,2021,559990
1100262,Rio Crespo - RO,2018,102476
1100262,Rio Crespo - RO,2019,111100
1100262,Rio Crespo - RO,2020,133557
1100262,Rio Crespo - RO,2021,184430
1100288,Rolim de Moura - RO,2018,1291476
1100288,Rolim de Moura - RO,2019,1281314
1100288,Rolim de Moura - RO,2020,1403499
1100288,Rolim de Moura - RO,2021,1565194
1100296,Santa Luzia D'Oeste - RO,2018,146269
1100296,Santa Luzia D'Oeste - RO,2019,142638
1100296,Santa Luzia D'Oeste - RO,2020,156765
1100296,Santa Luzia D'Oeste - RO,2021,213556
1100304,Vilhena - RO,2018,2720979
1100304,Vilhena - RO,2019,2832738
1100304,Vilhena - RO,2020,3152560
1100304,Vilhena - RO,2021,4215046
1100320,São Miguel do Guaporé - RO,2018,704874
1100320,São Miguel do Guaporé - RO,2019,616830
1100320,São Miguel do Guaporé - RO,2020,730643
1100320,São Miguel do Guaporé - RO,2021,905335
1100338,Nova Mamoré - RO,2018,508409
1100338,Nova Mamoré - RO,2019,529243
1100338,Nova Mamoré - RO,2020,601843
1100338,Nova Mamoré - RO,2021,742687
1100346,Alvorada D'Oeste - RO,2018,256200
1100346,Alvorada D'Oeste - RO,2019,260403
